run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
39,520,521,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.4434310048872331,0.3093182165663077,0.1843081164841714,0.0955491571063633,0.0269754625340625,0.0106870649948352,0.0266123769346072,0.0120378183622025,0.0273594960164712,0.0144274784404907,128-128-128,512,1000,255,16480.18159285304,5.443474093917757,16704.593694142997,NVIDIA A40
40,520,521,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.4630163119960667,0.2840167767867146,0.2054639743407983,0.0688762299271522,0.0259003656995885,0.0080509123891541,0.0257830500655362,0.0090353368806994,0.029382517630245,0.0170393826772049,256-256-256,512,1000,292,16282.768646024982,5.828395033022389,16499.609708581935,NVIDIA A40
41,541,542,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.4727474357023754,0.2606770948027878,0.2192139588172366,0.0615407968083108,0.0274891254247537,0.0116645458929977,0.0272455849837686,0.0138869300944671,0.0297493020909536,0.0076890210828464,128-128-128,512,1000,257,6440.615547678084,5.695372270070948,6506.788125809049,NVIDIA A40
42,541,542,4,100000,None,5,CsplineN,relu,8,-16,0,None,0.477497921209831,0.280263081361832,0.2020862043870247,0.0790175619181595,0.0273383383979054,0.0119941316224825,0.0273076075058469,0.0132359124380055,0.0345821391552063,0.0080893601014989,256-256-256,512,1000,277,6894.735342288041,4.709071206045337,6958.491877472028,NVIDIA A40
43,541,542,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.3504722017433664,0.3386272440147699,0.1458931611559564,0.1127815272981025,0.0253623762796382,0.0082751612811405,0.0253961434917783,0.009695355761192,0.02950002043066,0.0105065019898648,128-128-128,512,1000,288,8475.537734458921,4.831629541004077,8550.665146503015,NVIDIA A40
44,541,542,4,100000,None,5,CsplineN,relu,12,-16,0,None,0.405117474096947,0.2595869622647881,0.189095276078568,0.0750558402826942,0.0270181055079464,0.0078906380299918,0.0265061956271046,0.0108984754980814,0.035980664364073,0.0179376037355039,256-256-256,512,1000,263,9693.346206705086,4.769679869990796,9787.920951192034,NVIDIA A40
45,541,542,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.3179832281675449,0.2627088290570512,0.1745047612429099,0.0853999772236679,0.0275398259028178,0.0086426988672456,0.025731891870515,0.0108182693501633,0.0319312502738339,0.0108852197048478,128-128-128,512,1000,253,15421.86396200303,4.784208415891044,15612.396488231025,NVIDIA A40
46,541,542,4,100000,None,10,CsplineN,relu,8,-16,0,None,0.4878539914096226,0.2533678134287766,0.2249623708569225,0.0567317150735731,0.0252793949286677,0.0068426127776103,0.0248697473380812,0.0098387521633074,0.0340361178123047,0.0075138792471687,256-256-256,512,1000,309,19325.639410429983,5.762984714005143,19519.04984797793,NVIDIA A40
47,541,542,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.3589613026369423,0.2928760572388293,0.1611795082733073,0.1044051322932999,0.0363200332168595,0.0166942363023383,0.0356410767997687,0.0167548007426883,0.0292690920054111,0.0098655818360766,128-128-128,512,1000,244,17626.85819033906,4.75398001098074,17853.504588176962,NVIDIA A40
48,541,542,4,100000,None,10,CsplineN,relu,12,-16,0,None,0.3187945237867836,0.2950500151563083,0.1573615224017062,0.1019065095380852,0.0307805074460095,0.0122043665446597,0.0312570539116973,0.0124643451140996,0.0440254140572876,0.0217496492152189,256-256-256,512,1000,243,17392.257930071908,4.784451095038094,17626.602770562982,NVIDIA A40
