ndims,nbijectors,bijector,nsamples,spline_knots,range_min,eps_regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,time
16,2,MsplineN,100000,8,-5,1e-05,-1,0.41015908393332795,0.43750915899926723,0.19948367853096993,0.18756501236143058,0.03420137197285891,0.03420137197285891,0.07012301506646444,254-254-254,512,199.90523719400062
16,2,MsplineN,50000,8,-5,1e-05,-1,0.39573952399424683,0.41430465050197673,0.1816563121852588,0.18161014515151158,0.02346232245087622,0.02346232245087622,0.08691828179468182,128-128-128,512,126.53295869999965
16,2,MsplineN,50000,8,-5,1e-05,-1,0.39992302126994356,0.4236324610986634,0.19039588956123854,0.1813242529958814,0.027940227235853675,0.027940227235853675,0.09099767999746095,128-128-128,512,126.53295869999965
16,2,MsplineN,50000,8,-5,1e-05,-1,0.4077857613530134,0.4245052483392118,0.19954845816705724,0.18695912615196017,0.020670862162260502,0.020670862162260502,0.08246430476861998,254-254-254,512,139.11388045999956
16,2,MsplineN,50000,8,-5,1e-05,-1,0.41199639857124903,0.44486928436194495,0.20065219436515996,0.18823847062704746,0.020654446648133394,0.020654446648133394,0.08287530954422827,254-254-254,512,139.11388045999956
16,2,MsplineN,100000,4,-5,1e-05,-1,0.3666406402437854,0.36042909155920755,0.17442092585884938,0.178534977188262,0.03858422345232219,0.03858422345232219,0.0665218444794597,128-128-128,512,197.22223432400006
16,2,MsplineN,100000,4,-5,1e-05,-1,0.36918580486908675,0.3497293828567275,0.17702520671785693,0.17663074822202873,0.0404850932398539,0.0404850932398539,0.06241546553482142,128-128-128,512,197.22223432400006
16,2,MsplineN,100000,4,-5,1e-05,-1,0.41593666659345896,0.45300881027986617,0.2005123758419219,0.187907600194327,0.02547167789377155,0.02547167789377155,0.07909607917466047,254-254-254,512,244.04805897700044
16,2,MsplineN,100000,4,-5,1e-05,-1,0.4165673844832433,0.446988379668612,0.1993598428000612,0.1872563712987446,0.021412543203309185,0.021412543203309185,0.07617676881315977,254-254-254,512,244.04805897700044
16,2,MsplineN,50000,4,-5,1e-05,-1,0.3878760044260088,0.42474578639889965,0.19797885111379954,0.1835261699975932,0.019070824678475033,0.019070824678475033,0.07769363668882061,128-128-128,512,120.05975335099993
16,2,MsplineN,50000,4,-5,1e-05,-1,0.38349124206440904,0.3965069221454315,0.19738508858493975,0.1828674677530383,0.017604093445986506,0.017604093445986506,0.08014686309705202,128-128-128,512,120.05975335099993
16,2,MsplineN,50000,4,-5,1e-05,-1,0.36720673924502223,0.39831253503514663,0.18990975394258203,0.17134009263956643,0.027347983132401648,0.027347983132401648,0.08547428238934893,254-254-254,512,106.05628097099907
16,2,MsplineN,50000,4,-5,1e-05,-1,0.37261861945898483,0.4013751668543487,0.1935352956751633,0.1708961033504699,0.02756205677920336,0.02756205677920336,0.08318776277896431,254-254-254,512,106.05628097099907
