run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,kl_divergence,ks_test_mean,ks_test_median,ad_test_mean,ad_test_median,Wasserstein_median,Wasserstein_mean,frob_norm,hidden_layers,batch_size,epochs_input,epochs_output,time
29,0,16,100000,corr,5,CsplineN,relu,12,-16,0,,-1,0.16472214989085174,0.13754487147699299,0.1356542090821773,0.11180425224857918,0.07076389308943346,0.07076389308943346,0.18021393831191695,256-256-256,512,1000,112,2873.0594949382357
30,0,16,100000,corr,5,CsplineN,relu,12,-16,0,,-1,0.15464188009591934,0.11594094748046627,0.10839835967685797,0.10572937503080151,0.06450464095427488,0.06450464095427488,0.16299150109694488,512-512-512,512,1000,114,3036.3067122856155
31,0,16,100000,corr,10,CsplineN,relu,8,-16,0,,-1,0.20734148233118244,0.22005139100124976,0.12817706038827897,0.11573472209780208,0.06941789350482863,0.06941789350482863,0.19722927091020762,128-128-128,512,1000,212,9277.933170239441
32,0,16,100000,corr,10,CsplineN,relu,8,-16,0,,-1,0.16134496889820268,0.1673309675439958,0.10625302506514928,0.0998301291010804,0.0784243984253582,0.0784243984253582,0.1921016274671139,256-256-256,512,1000,114,5151.013142347336
33,0,16,100000,corr,10,CsplineN,relu,8,-16,0,,-1,0.19378852878734854,0.1758700527263457,0.1347366055031669,0.11683677940053853,0.07545706167018469,0.07545706167018469,0.18993826134247932,512-512-512,512,1000,104,4987.851920241956
34,0,16,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.16058868777176774,0.1284930692954149,0.08404022398726274,0.08920905972412871,0.08265531047736718,0.08265531047736718,0.15762527627581505,128-128-128,512,1000,148,7744.735342857894
35,0,16,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.24436126701457872,0.2704906765377242,0.1593801762714392,0.14161516204945265,0.06743439346613025,0.06743439346613025,0.1879670261634382,256-256-256,512,1000,92,4872.771164263133
36,0,16,100000,corr,10,CsplineN,relu,12,-16,0,,-1,0.18655661255948214,0.2046047059223116,0.11013543087047482,0.10742531233625471,0.09578432065121786,0.09578432065121786,0.20108327431604778,512-512-512,512,1000,97,5228.124506848864
37,0,32,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.24735050607079137,0.2706399172964219,0.17363221324461034,0.1459112160509868,0.07098646959135503,0.07098646959135503,0.2684921176395874,128-128-128,512,1000,341,7247.5465366658755
38,0,32,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.09245592296839146,0.055496689447397544,0.0495621672414239,0.07529407214240985,0.1363763199867647,0.1363763199867647,0.2935069395272348,256-256-256,512,1000,141,3206.036669761874
39,0,32,100000,corr,5,CsplineN,relu,8,-16,0,,-1,0.11933437633989238,0.0925710277432356,0.07856657280331739,0.08549931206059504,0.11693390866257995,0.11693390866257995,0.28737269548943006,512-512-512,512,1000,103,2326.560050692875
40,0,32,100000,corr,5,CsplineN,relu,12,-16,0,,-1,0.22944093591933906,0.23533718868798326,0.1491857914048358,0.12837986196755488,0.07632730732192328,0.07632730732192328,0.25621704510005305,128-128-128,512,1000,156,3881.5119488351047
