run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
28,721,722,4,100000,,10,RealNVPN,relu,8,-5,0,,0.255468872712544,0.24352804027929742,0.12328615806032221,0.09587042781279079,0.038469646782028834,0.013763274312208444,0.035678977554179724,0.017034862953820482,0.0378836755852582,0.008688052125568932,256-256-256,256,1000,229,2883.5057207279606,5.850701825984288,2907.5470300909947,NVIDIA A40
29,869,870,4,100000,,5,RealNVPN,relu,8,-5,0,,0.45829852185779674,0.2816624385141518,0.20530603244785955,0.07681366063512039,0.02514758655485836,0.009516975863113605,0.025964613381556718,0.010903891875165127,0.031165243748063946,0.014917154053263628,128-128-128,256,1000,388,2776.327445749019,4.766213966999203,2791.2088941679685,NVIDIA A40
30,869,870,4,100000,,5,RealNVPN,relu,8,-5,0,,0.5802978319632471,0.2927671101537206,0.22598879872599453,0.05869086155802024,0.01894602680880187,0.007894621442149355,0.019928789657261862,0.010051907787325677,0.01925272829912531,0.009346387553564992,256-256-256,256,1000,335,2319.6274513590033,4.943055782001466,2333.971276207012,NVIDIA A40
31,869,870,4,100000,,10,RealNVPN,relu,8,-5,0,,0.45668721162225073,0.30251783175916735,0.19106353305188756,0.09257789986492684,0.021710061282257363,0.008245515752284443,0.02130164391922038,0.010795759101906737,0.020579400476529223,0.007760940368291028,128-128-128,256,1000,259,3296.3511793790385,5.308976333995815,3322.8392327130423,NVIDIA A40
32,869,870,4,100000,,10,RealNVPN,relu,8,-5,0,,0.4512306044016457,0.3315151299023386,0.19285863750059523,0.09047139569844025,0.02429742277516826,0.010708980552008947,0.027064284351436804,0.010145493785103576,0.028128381682930064,0.008425379602925363,256-256-256,256,1000,212,2732.8906387080206,4.819075593026355,2757.555391657981,NVIDIA A40
33,926,927,4,100000,,5,RealNVPN,relu,8,-5,0,,0.4526477994701693,0.27745257973529935,0.22077686902956736,0.06324021439937628,0.02438223073249684,0.007645552281844075,0.024926073210605734,0.008620936434243085,0.029544666623016313,0.008081157780229633,128-128-128,256,1000,388,2713.6674951459863,4.6049185319570825,2727.158448121976,NVIDIA A40
34,926,927,4,100000,,5,RealNVPN,relu,8,-5,0,,0.5859824252268299,0.25709700963325816,0.2337680473026494,0.04337077637303559,0.02293316888700924,0.005961022399846788,0.023667492533769086,0.0075656895628848034,0.022902084632898452,0.0038060540228457866,256-256-256,256,1000,388,2726.0040316990344,5.232051839993801,2740.7603971320204,NVIDIA A40
35,926,927,4,100000,,10,RealNVPN,relu,8,-5,0,,0.4868792695488352,0.2864831642872386,0.20637264793774518,0.07437829006632468,0.023621032596697032,0.007926322534089765,0.025230473179174137,0.009367777814237243,0.045966677825917554,0.011158642761885022,128-128-128,256,1000,235,3091.259439560992,5.460120262985583,3114.665186518978,NVIDIA A40
36,926,927,4,100000,,10,RealNVPN,relu,8,-5,0,,0.4387414182689965,0.26876971666800525,0.19045098821009857,0.07493299690143396,0.03070980218525681,0.010551096060220954,0.031145592424565393,0.01242664497698123,0.03429497951503391,0.013076895480224004,256-256-256,256,1000,247,3110.691923707025,5.424289037997369,3134.1601001290255,NVIDIA A40
37,933,934,4,100000,,5,RealNVPN,relu,8,-5,0,,0.2804084459951889,0.23913540588986967,0.1648133584283229,0.09072276144238973,0.03682499177918529,0.01491474182628471,0.03538475061195715,0.02108373721108335,0.03779559161484798,0.010246756455078965,128-128-128,256,1000,505,3563.9756621479755,5.376558374031447,3579.6666616500006,NVIDIA A40
38,933,934,4,100000,,5,RealNVPN,relu,8,-5,0,,0.27768610362850826,0.2615779991698755,0.15404191338179762,0.09754301862397366,0.0337564427327887,0.012341531867474461,0.03294188920195757,0.017137582528158543,0.04090016802195788,0.017751362166341433,256-256-256,256,1000,428,3004.7882215660065,6.0249802629696205,3020.872035612003,NVIDIA A40
39,933,934,4,100000,,10,RealNVPN,relu,8,-5,0,,0.22772327128380274,0.2898301398792399,0.13072275962328864,0.10111897126114362,0.03113286859486265,0.015714518612730065,0.03174995350897866,0.015451883446826653,0.035951713896536085,0.016901313603232077,128-128-128,256,1000,363,4951.024679913011,5.8712237299769185,4975.757579786994,NVIDIA A40
40,933,934,4,100000,,10,RealNVPN,relu,8,-5,0,,0.31599097274350946,0.2599976218399663,0.17309152170718273,0.08312300418773619,0.026639113071686326,0.01012453866269983,0.026445490186859395,0.012612380770858118,0.04120572803561369,0.01930651701843207,256-256-256,256,1000,252,3303.4604158790316,5.702384645992424,3327.668313872011,NVIDIA A40
41,0,1,8,100000,,5,RealNVPN,relu,8,-5,0,,0.14141751986555523,0.1664678503599264,0.09842165354559076,0.09285508513095495,0.0492754241392484,0.021540422996399147,0.048391839744280345,0.024711974391040795,0.085974155356676,0.014456048536802235,128-128-128,256,1000,281,2036.0905928039574,5.712480264017358,2057.985353349999,NVIDIA A40
42,0,1,8,100000,,5,RealNVPN,relu,8,-5,0,,0.22277631443931528,0.2662582653480781,0.10399500178381235,0.09828432058221305,0.043283610932021585,0.02752225253596861,0.04284577887076355,0.02577201036804847,0.07036496282859957,0.017742458755557942,256-256-256,256,1000,274,1982.3990757410065,6.73127894900972,2009.2886591500137,NVIDIA A40
43,0,1,8,100000,,10,RealNVPN,relu,8,-5,0,,0.11575465153870709,0.15456553964900535,0.06924746083704983,0.08963497620274011,0.044736929274055384,0.022168519605488237,0.043897033936708865,0.02128902843364536,0.10934344078226947,0.022538975429584194,128-128-128,256,1000,179,2428.532133153989,7.0062357269926,2459.659834168968,NVIDIA A40
