run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
54,440,441,8,100000,None,5,RealNVPN,relu,8,-5,0,None,0.2605771731973044,0.22085710114701,0.171638064564531,0.0839108562389755,0.0321596375626473,0.0154341200414106,0.0320483278713224,0.0157335591438976,0.0649077840208251,0.0144958946182874,256-256-256,256,1000,215,1567.1106508719968,6.451649221009575,1587.2728766800135,NVIDIA A40
55,440,441,8,100000,None,10,RealNVPN,relu,8,-5,0,None,0.1017517934653967,0.1589838268390278,0.0645046400428876,0.0881785539608145,0.0575154112884082,0.0292524309659684,0.0578658523398894,0.027212394939733,0.1242299182726168,0.0231919467511801,128-128-128,256,1000,202,2672.327548269008,6.304098153952509,2701.3662622040138,NVIDIA A40
56,440,441,8,100000,None,10,RealNVPN,relu,8,-5,0,None,0.0600850455840874,0.0991690801990041,0.031374694220312,0.0556722024030901,0.0655087155809537,0.0338742914210527,0.0659111523354616,0.0355732161223928,0.1729555446966722,0.0192722704842817,256-256-256,256,1000,159,2103.7177486200235,6.249345001007896,2139.3818939269986,NVIDIA A40
57,520,521,8,100000,None,5,RealNVPN,relu,8,-5,0,None,0.2733431986478745,0.2417734111361765,0.167026323283728,0.0888924771882035,0.0328763378411722,0.0183089126709724,0.0336288955525643,0.0181725735859163,0.0652234976599011,0.014447658336299,128-128-128,256,1000,276,2054.0139741480234,6.222432848007884,2074.119620469981,NVIDIA A40
58,520,521,8,100000,None,5,RealNVPN,relu,8,-5,0,None,0.1655191975236845,0.220958836435976,0.0894349283446408,0.0929075711203095,0.0390437900303675,0.0214436862390511,0.0384233796648369,0.0204830537458604,0.1116815814362554,0.0186401884478255,256-256-256,256,1000,184,1354.5120865660135,6.440228028979618,1376.0417519569746,NVIDIA A40
59,520,521,8,100000,None,10,RealNVPN,relu,8,-5,0,None,0.1618549220667697,0.2467746963113403,0.0703163283798795,0.0982540832627326,0.0463430570058872,0.0243786050608996,0.0501895641087143,0.0240057537616252,0.1155561040856211,0.0093194238911717,128-128-128,256,1000,206,2650.073469141964,6.268349751015194,2676.34629307501,NVIDIA A40
60,520,521,8,100000,None,10,RealNVPN,relu,8,-5,0,None,0.2119881748027841,0.2580092695186856,0.0943492076456642,0.1001305219880783,0.041119386396513,0.0257357980496568,0.0421765533438524,0.0238819961879051,0.0611975246977937,0.0104300501700587,256-256-256,256,1000,189,2454.3156724660075,6.582881971960887,2490.7484262619982,NVIDIA A40
61,541,542,8,100000,None,5,RealNVPN,relu,8,-5,0,None,0.0981328399945229,0.1443018718358898,0.0875572117943975,0.0898566213558012,0.0546584330794568,0.0262289043678803,0.0506415841678371,0.0291027100069743,0.073719694391906,0.0137406462645943,128-128-128,256,1000,246,1847.09349208005,6.7073768099653535,1869.7369223990245,NVIDIA A40
62,541,542,8,100000,None,5,RealNVPN,relu,8,-5,0,None,0.1678253523735289,0.2275746392500066,0.1245992555378232,0.0945881596316213,0.0312735113534754,0.0148299208183606,0.0333560606410132,0.0162563834585864,0.1022322689915028,0.0257753176138982,256-256-256,256,1000,267,1976.8307842339852,5.379698401025962,1997.824984248029,NVIDIA A40
63,541,542,8,100000,None,10,RealNVPN,relu,8,-5,0,None,0.1048965550788948,0.1639447246450944,0.0856247305162197,0.0885659340036097,0.0438442564453537,0.0247741791162705,0.0440903414202275,0.0264763943859569,0.0709782776051004,0.0198421868982145,128-128-128,256,1000,228,3042.68729226297,6.487830216996372,3070.759126532997,NVIDIA A40
64,541,542,8,100000,None,10,RealNVPN,relu,8,-5,0,None,0.0579786497307435,0.1197461422109358,0.0366764509386221,0.0723389838220055,0.0711423496164592,0.0367168678615474,0.0654694476677092,0.0341931989538989,0.1057927078232225,0.0232386869688484,256-256-256,256,1000,151,1993.6809348759707,6.253894129011314,2030.7649062860287,NVIDIA A40
65,721,722,8,100000,None,5,RealNVPN,relu,8,-5,0,None,0.3340690854530276,0.2879628366094596,0.1768227011683844,0.1038612829355961,0.0306669496114033,0.0145586900543149,0.0317509564716097,0.0144678422799107,0.0901378862885031,0.0094427031069721,128-128-128,256,1000,273,2072.923158997029,6.946110619988758,2096.2738161419984,NVIDIA A40
66,721,722,8,100000,None,5,RealNVPN,relu,8,-5,0,None,0.3073490122213175,0.2980284216062727,0.178936223225965,0.0895006982407227,0.0305293646286505,0.0183166365961171,0.0302481981602769,0.0165525038387641,0.0555548001873815,0.0143380775105123,256-256-256,256,1000,248,1845.8143279809735,6.243119457038119,1866.2596242720028,NVIDIA A40
67,721,722,8,100000,None,10,RealNVPN,relu,8,-5,0,None,0.322574017279814,0.3163517392851572,0.1426273261781706,0.1077455235434033,0.028292451217308,0.0160770608408427,0.0311997946481608,0.01495699480057,0.0776632767548266,0.0082181827326713,128-128-128,256,1000,220,2894.849741529033,6.567400139989331,2924.089567254996,NVIDIA A40
