run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
26,721,722,4,100000,,5,MAFN,relu,8,-5,0,,0.3462970509885298,0.290899736146288,0.169468913290312,0.0980924877202877,0.0267999898932412,0.0088768267642932,0.0257075252359619,0.0122909498919718,0.0269720414641744,0.0052347422635818,256-256-256,512,1000,401,1181.0921665329952,5.935980899987044,1202.2981745960133,NVIDIA A40
27,821433,821434,4,100000,,10,MAFN,relu,8,-5,0,,0.3287330647803119,0.2793520204678317,0.1546085387001702,0.103594914457462,0.0403679761921849,0.0246063783374126,0.0419407093202565,0.0192986461528784,0.1429602806104781,0.0187105195516669,128-128-128,512,1000,500,2675.034467769001,5.704024317004951,2720.262709202012,NVIDIA A40
28,821433,821434,4,100000,,10,MAFN,relu,8,-5,0,,0.3297798012832702,0.2893598185071263,0.1589090346358979,0.1065373521266325,0.0454220922961901,0.0284898421280736,0.0476810030701187,0.0234215088509083,0.1744648554397983,0.0193007135883237,256-256-256,512,1000,394,2188.9870005849807,4.859278824995272,2230.060968400998,NVIDIA A40
29,869,870,4,100000,,5,MAFN,relu,8,-5,0,,0.2530820024418532,0.2526218916262827,0.1427981516587843,0.105442227942554,0.0349316771836363,0.0139744971025071,0.0371323017515359,0.0129428095548035,0.0299939329599683,0.0066328261429187,128-128-128,512,1000,336,1009.9269785149954,5.853268433013,1031.7047298839898,NVIDIA A40
30,869,870,4,100000,,5,MAFN,relu,8,-5,0,,0.3921170570586444,0.3057744151418714,0.1979846036939331,0.0756345457330759,0.0341281385027652,0.0136538204731975,0.0325549975643598,0.0174638469382966,0.0405922018891325,0.0150366533423841,256-256-256,512,1000,484,1426.4863577969954,5.242431866994593,1447.7778721530049,NVIDIA A40
31,869,870,4,100000,,10,MAFN,relu,8,-5,0,,0.1533615941262919,0.1605381742437581,0.0913587196152728,0.0972961385017474,0.0450974452923063,0.0151612386443071,0.0451486373607001,0.0187297701189241,0.1657786406509124,0.0167355300496435,128-128-128,512,1000,479,2534.1036942189967,5.984201267012395,2570.6049720519804,NVIDIA A40
32,869,870,4,100000,,10,MAFN,relu,8,-5,0,,0.1717209875601222,0.1950221632403482,0.0869294232877148,0.0803663704085054,0.0422840422127052,0.011818020271344,0.0403492696848689,0.0177303025400264,0.0845838196572028,0.0159868250470942,256-256-256,512,1000,399,2241.9554847730037,4.99946098800865,2284.9695299180166,NVIDIA A40
33,926,927,4,100000,,5,MAFN,relu,8,-5,0,,0.5454007928567725,0.2656954666380992,0.2344074585622955,0.0391454983980788,0.0295284710206495,0.011125272025345,0.0295097619989766,0.0136706362528098,0.0451903532617571,0.0111711693725247,128-128-128,512,1000,674,2000.9402137669967,5.962165782984812,2022.5095381219871,NVIDIA A40
34,926,927,4,100000,,5,MAFN,relu,8,-5,0,,0.4735879019093619,0.2641843801250976,0.2084481141943834,0.0614521645261193,0.0255081340874971,0.0079881718037904,0.0251638879881625,0.0103283867476737,0.0225990517258038,0.0117750579910866,256-256-256,512,1000,413,1217.9521158839923,4.807787840021774,1238.3511255570047,NVIDIA A40
35,638742,638743,4,100000,,10,MAFN,relu,8,-5,0,,0.289190823068202,0.2529723127872092,0.1539876818253,0.0920669066783493,0.0360309066696007,0.0124247315682525,0.0364504016769012,0.0141630906244276,0.1487376027255716,0.0180230634268824,128-128-128,512,1000,580,3040.1212596479745,6.0574752670072485,3086.79889394599,NVIDIA A40
