run_n,seed_train,seed_test,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,training_time,prediction_time,total_time,training_device
21,541,542,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5458689825964091,0.2766909098397529,0.22199791373690161,0.06240277117336175,0.024256786060196957,0.008619630522117998,0.023916004697466065,0.010889507459632663,0.02726185524904214,0.00917868442584087,128-128-128,512,1000,390,2948.5823666850047,5.570301241998095,2975.9432618230057,NVIDIA A40
22,541,542,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5466369139262988,0.24054482194770746,0.23845591615277434,0.04112450601770301,0.022843833316052164,0.006527678012758397,0.022672345375795457,0.008951006129766485,0.02847424849927771,0.014949939791097945,256-256-256,512,1000,300,2276.6541049479856,4.853650383010972,2308.3186647330003,NVIDIA A40
23,541,542,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.5450011519170264,0.2558718571600219,0.22690031377642605,0.053904566401580783,0.02316747552869738,0.007727228703627649,0.02297826757550321,0.00938148168787429,0.03336679674473645,0.015053824437248562,128-128-128,512,1000,436,3331.5050699980056,5.937190467986511,3359.872184879001,NVIDIA A40
24,541,542,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.5362492713733309,0.3047442396049808,0.2177671014366981,0.07039661629647655,0.025186392243540124,0.010327685470832943,0.024547232186295672,0.012624123916630384,0.031885641609208024,0.010414322611492086,256-256-256,512,1000,263,2002.243542821001,5.794073006982217,2030.985725040984,NVIDIA A40
25,721,722,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.509696379858503,0.29954864371529255,0.21712667293968155,0.07092941059166619,0.021468355806202988,0.007134683114285564,0.02208716386864508,0.008211065102601472,0.021653177948698338,0.005683327898135748,128-128-128,512,1000,401,3028.7597369730065,5.656728339992696,3063.166239646991,NVIDIA A40
26,721,722,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5214030438553501,0.30402986493352185,0.221821259798458,0.06170261512059154,0.023653113598837226,0.00885142108952521,0.02345230304820017,0.00963093569670975,0.02063042077429786,0.0062773672902365265,256-256-256,512,1000,327,2467.7126030749932,4.767113390000304,2493.867172186001,NVIDIA A40
27,721,722,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.4289982075993688,0.2734150206885592,0.21669186746993727,0.06310268199926015,0.026123107830904706,0.009143029268372389,0.02560446718718001,0.010845264475157547,0.03915205497011319,0.0088795790493822,128-128-128,512,1000,467,3529.4150756649906,5.790956291981274,3557.380549933994,NVIDIA A40
28,721,722,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.4526688634767805,0.3146321029371899,0.21382947102599595,0.06866249939780915,0.02611122362522712,0.011547089417755133,0.026281730225288513,0.010468206482103865,0.020810940060297024,0.006511858472059568,256-256-256,512,1000,347,2599.3990697720146,5.884493652993115,2634.4003875440103,NVIDIA A40
29,869,870,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5790713119699098,0.27375593978382,0.23034833067669608,0.04797049197241322,0.024082954240221357,0.010171645407764366,0.0245920650984202,0.011231870626012774,0.03915739025702751,0.01170286130754798,128-128-128,512,1000,498,3772.4591918800143,4.696332381019602,3798.4593141980004,NVIDIA A40
30,869,870,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.06828930279674705,0.09188276947252692,0.049543209748780265,0.06927637220410791,0.048121414833771914,0.0169669573367405,0.04391203204228343,0.022492653546025875,0.029696768487931173,0.007728920349864453,256-256-256,512,1000,268,2020.1652946959948,4.768445497989887,2046.636041641992,NVIDIA A40
31,869,870,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.2535113778836555,0.20423134080031552,0.1450607318964941,0.08948843016523088,0.04422248448514989,0.017697041593320435,0.04136831287059948,0.023191559324937803,0.03435492060518672,0.015766106758388257,128-128-128,512,1000,445,3410.8729152330197,4.777270237012999,3437.6682940699975,NVIDIA A40
32,869,870,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.594704137215561,0.27173932210658036,0.23122539542060233,0.054324913677010506,0.0218797244328069,0.009190002544138183,0.021901569510319838,0.010082871430496774,0.02030239929879239,0.008320418451492263,256-256-256,512,1000,273,2147.3538939179853,4.661490923987003,2172.500209645019,NVIDIA A40
33,926,927,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.42799407753566676,0.2666851934210542,0.20094866382370968,0.08183068371951459,0.028701312391784382,0.01016223107509557,0.02821226198509068,0.012675470884485463,0.019070235206401203,0.0071593261066390705,128-128-128,512,1000,422,3279.4390779410023,4.535388881980907,3305.1357515550044,NVIDIA A40
34,926,927,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.5356778668108415,0.2783746098394014,0.22725211097562434,0.05084092291145381,0.020495067842899325,0.007303368202302102,0.020972991820685485,0.008388238521180173,0.019203170891450416,0.004743717824539149,256-256-256,512,1000,251,1928.6351680450025,5.638850026996806,1957.2018389219884,NVIDIA A40
35,926,927,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.5086418853440972,0.27928138431483823,0.20582935676711003,0.07671739705969133,0.024564320420671065,0.010088045591411136,0.024345209129429318,0.012783576573516371,0.020549782500567233,0.008401482417524508,128-128-128,512,1000,393,2946.170407053025,5.282793267979287,2981.5805272529833,NVIDIA A40
36,926,927,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.4187429690057935,0.26072289058618026,0.21383548759225351,0.06939055659085577,0.032486525729732596,0.011406060135490528,0.030075951698880343,0.016155077970958324,0.02566374877347327,0.006510045669654903,256-256-256,512,1000,345,2697.8282124539837,4.611895632988308,2723.0651514430065,NVIDIA A40
37,933,934,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.3047594585863303,0.24110387669521308,0.143861513613265,0.09804057149747708,0.03699846982032502,0.017163465274524295,0.03627057691852319,0.020072074031160486,0.028661083442761425,0.014247105272225781,128-128-128,512,1000,479,3654.28163444699,4.803901417006273,3679.7811125000007,NVIDIA A40
38,933,934,4,100000,None,2,MsplineN,relu,8,-16,0,None,0.41916571838432015,0.2218805443650261,0.2262822768469265,0.05441810523675911,0.025652245325167154,0.009784528382249719,0.024572832071651448,0.012518427598365663,0.029790941432698597,0.01761536500674473,256-256-256,512,1000,353,2665.5623797670123,5.482563124038279,2691.954240814026,NVIDIA A40
39,933,934,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.49744211611798794,0.27006721187845123,0.21371620588391488,0.07058715638660344,0.02545323737817079,0.010013517755154952,0.02447869693381864,0.012471896594775262,0.029388643587980618,0.012335722908483464,128-128-128,512,1000,362,2762.151337046991,4.710902245948091,2787.558971523016,NVIDIA A40
40,933,934,4,100000,None,2,MsplineN,relu,12,-16,0,None,0.42842729052896916,0.2727083793556768,0.19539956482724696,0.07921890913691153,0.027287110247453828,0.010448657775275975,0.025778034978280965,0.014313205818163316,0.031923513357952536,0.012215780362501314,256-256-256,512,1000,377,2948.2806332329637,5.753835557028651,2974.8671526430408,NVIDIA A40
41,0,1,8,100000,None,2,MsplineN,relu,8,-16,0,None,0.2652502644880772,0.25438156885033514,0.151616382809441,0.09298192367021148,0.04280837042225335,0.027844841722061104,0.04239126814363309,0.029843762749221823,0.09159015816030416,0.015693524881189896,128-128-128,512,1000,324,2479.9048688199837,6.222806844976731,2514.9519460930023,NVIDIA A40
42,0,1,8,100000,None,2,MsplineN,relu,8,-16,0,None,0.26271393172373847,0.2570641104793317,0.1469823632196929,0.09541216171849468,0.03687362489593416,0.025110114714340596,0.037197789347536224,0.024709591087805672,0.06924589292023767,0.01342595786891154,256-256-256,512,1000,223,1732.0607693930506,5.473487353010569,1762.898699812009,NVIDIA A40
