run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,activation,spline_knots,range_min,eps_regulariser,regulariser,ks_mean,ks_std,ad_mean,ad_std,wd_mean,wd_std,swd_mean,swd_std,fn_mean,fn_std,hidden_layers,batch_size,epochs_input,epochs_output,time
22,0,200,100000,corr,2,MsplineN,relu,32,-16,0,None,0.0166994889388331,0.0696125588922423,0.0132883991964886,0.0420565627669163,0.1454930642569003,0.0655092852541101,0.1439945928026195,0.0736001250629894,8.093593601619991,0.4228598766357757,512-512-512,512,1000,98,835.6263262275606
23,0,200,100000,corr,2,MsplineN,relu,64,-16,0,None,0.0420949101558674,0.0902731387997441,0.0284332896056851,0.0545341772091811,0.0982198180326863,0.0414363141339386,0.1005576642007799,0.0436648467160871,7.302314342250059,0.4128573169387973,512-512-512,512,1000,102,1342.103733394295
24,0,400,100000,corr,2,MsplineN,relu,32,-16,0,None,0.0018757650121515,0.0244487120183145,0.0024509144583789,0.0122168870848416,0.2133806800054346,0.0977417180520776,0.2156629366801953,0.1078804170981585,31.418960310590773,1.0181946609352988,512-512-512,512,1000,116,1654.4896872723475
25,0,4,100000,corr,5,MsplineN,relu,12,-16,0,None,0.3240083428488297,0.2660184515894567,0.1905340118701302,0.0795219770543717,0.0451186200023943,0.0263961881005314,0.0527858638993342,0.0235884797295288,0.0448321978043928,0.0088528066157562,128-128-128,512,1000,310,4642.202876954339
26,0,8,100000,corr,5,MsplineN,relu,12,-16,0,None,0.131559855459078,0.2302085747596379,0.0825678150926523,0.0945034821916643,0.0919134040140259,0.0457508113872789,0.0920787766768321,0.0464052625832507,0.1243916992583269,0.0160687728244015,128-128-128,512,1000,181,2695.132287560962
27,0,16,100000,corr,5,MsplineN,relu,12,-16,0,None,0.2406850182210614,0.2487484575112898,0.1292323337950693,0.1011882990058063,0.0630359559430907,0.0318054286615352,0.0615634144563434,0.0297580426506136,0.2250476675352126,0.0490407026654947,128-128-128,512,1000,200,2944.782876638696
28,0,32,100000,corr,5,MsplineN,relu,12,-16,0,None,0.3036699709243502,0.2605254015382532,0.1706475629084942,0.0891973700507782,0.0531191474437077,0.0210259781245764,0.0529691982230674,0.0245839841089164,0.4771925715548571,0.0706666578653766,128-128-128,512,1000,202,3076.124506507069
29,0,64,100000,corr,5,MsplineN,relu,12,-16,0,None,0.1026970135143809,0.1561738842654912,0.078828358772138,0.0861624570205869,0.0810226287711379,0.0350478244561128,0.0772355811492065,0.037741934903627,1.251500142646687,0.0759958956923876,128-128-128,512,1000,173,2659.351233743131
30,0,100,100000,corr,5,MsplineN,relu,12,-16,0,None,0.2496230485286299,0.2447462594782073,0.1431433356874317,0.1002008975416095,0.0623411557905308,0.0285928778445939,0.0644417139441893,0.0312575063118391,1.7368777619634268,0.13525557991017,128-128-128,512,1000,193,2981.4748661248013
31,0,200,100000,corr,5,MsplineN,relu,12,-16,0,None,0.010559541499886,0.0494478363719793,0.0104977516642152,0.032061725181249,0.1572676066135542,0.0743250885095565,0.1576390578721817,0.082244346609351,9.561539493298234,0.5531760129842499,128-128-128,512,1000,191,2990.937485153787
